,id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price,month,file date,Purchase Price Category,Market Cap Category,Rank
589,590,Tiler,Abley,TRIL,Health Care,NASDAQ,Trillium Therapeutics Inc.,49000000.0,99022.19,7,01/7/2023,Very High,Small,3.0
617,618,Barclay,O'Murtagh,CLNS,Consumer Services,NYSE,"Colony NorthStar, Inc.",7930000000.0,8788.66,7,01/7/2023,Low,Large,3.0
619,620,Wilow,Garrow,AAPL,Technology,NASDAQ,Apple Inc.,741770000000.0,97064.12,7,01/7/2023,Very High,Huge,1.0
629,630,Muffin,Casel,OBSV,Health Care,NASDAQ,ObsEva SA,161490000.0,74303.37,7,01/7/2023,High,Medium,2.0
637,638,Frazier,Rammell,GNK,Transportation,NYSE,Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ,323860000.0,9315.24,7,01/7/2023,Low,Medium,5.0
638,639,Vina,Dossetter,MSBF,Finance,NASDAQ,MSB Financial Corp.,99400000.0,69252.63,7,01/7/2023,High,Small,3.0
643,644,Wayne,Lawerence,ESG,,NASDAQ,FlexShares STOXX US ESG Impact Index Fund,8610000.0,73317.95,7,01/7/2023,High,Small,2.0
657,658,Noah,Gritten,MG,Consumer Services,NYSE,Mistras Group Inc,617060000.0,74883.88,7,01/7/2023,High,Medium,1.0
679,680,Niccolo,Perillo,DWAQ,,NASDAQ,PowerShares DWA NASDAQ Momentum Portfolio,35540000.0,99843.63,7,01/7/2023,Very High,Small,1.0
701,702,Erroll,Russell,PM,Consumer Non-Durables,NYSE,Philip Morris International Inc,189230000000.0,95224.24,7,01/7/2023,Very High,Huge,3.0
704,705,Sig,Tipping,BABA,Miscellaneous,NYSE,Alibaba Group Holding Limited,341220000000.0,55867.43,7,01/7/2023,High,Huge,2.0
740,741,Crawford,Lashmar,ALDR,Health Care,NASDAQ,"Alder BioPharmaceuticals, Inc.",882180000.0,9497.85,7,01/7/2023,Low,Medium,3.0
741,742,Hyacinthe,Wait,HSBC,Finance,NYSE,HSBC Holdings plc,176430000000.0,95720.42,7,01/7/2023,Very High,Huge,2.0
773,774,Danica,Lavallin,MBRX,Health Care,NASDAQ,"Moleculin Biotech, Inc.",14380000.0,48281.66,7,01/7/2023,Medium,Small,2.0
774,775,Ana,O'Keeffe,HD,Consumer Services,NYSE,"Home Depot, Inc. (The)",187270000000.0,37792.97,7,01/7/2023,Medium,Huge,2.0
786,787,Joanie,Heggadon,GOOGL,Technology,NASDAQ,Alphabet Inc.,663120000000.0,52801.45,7,01/7/2023,High,Huge,5.0
811,812,Benedicto,Danielovitch,NEU,Basic Industries,NYSE,NewMarket Corporation,5530000000.0,98668.88,7,01/7/2023,Very High,Large,3.0
823,824,Joshia,Adams,HK,Energy,NYSE,Halcon Resources Corporation,660530000.0,99073.46,7,01/7/2023,Very High,Medium,4.0
836,837,Nellie,Whitelock,JHG,Finance,NYSE,Janus Henderson Group plc,367060000.0,49000.83,7,01/7/2023,Medium,Medium,4.0
860,861,Haily,Andreas,MMM,Health Care,NYSE,3M Company,127360000000.0,53387.28,7,01/7/2023,High,Huge,4.0
873,874,Franklin,Shoosmith,PPSI,Consumer Durables,NASDAQ,"Pioneer Power Solutions, Inc.",56680000.0,67168.20,7,01/7/2023,High,Small,4.0
905,906,Lizette,Poppleton,LDR,Capital Goods,NYSE,"Landauer, Inc.",513320000.00000006,99523.50,7,01/7/2023,Very High,Medium,2.0
916,917,Marion,MacKeeg,MTB,Finance,NYSE,M&T Bank Corporation,24880000000.0,8431.51,7,01/7/2023,Low,Large,5.0
933,934,Mayor,Worsnop,HURN,Consumer Services,NASDAQ,Huron Consulting Group Inc.,935950000.0,9686.00,7,01/7/2023,Low,Medium,1.0
936,937,Eveleen,Pitsall,LAMR,Consumer Services,NASDAQ,Lamar Advertising Company,7220000000.0,8878.10,7,01/7/2023,Low,Large,2.0
942,943,Ketty,Eles,AVIR,Health Care,NASDAQ,"Aviragen Therapeutics, Inc.",20870000.0,9193.64,7,01/7/2023,Low,Small,2.0
953,954,Shalna,End,SITO,Miscellaneous,NASDAQ,"SITO Mobile, Ltd.",71560000.0,74604.41,7,01/7/2023,High,Small,1.0
987,988,Sander,Degoe,YTEN,Basic Industries,NASDAQ,"Yield10 Bioscience, Inc.",1440000.0,46925.56,7,01/7/2023,Medium,Small,4.0
6,7,Justen,Eliyahu,KHC,Consumer Non-Durables,NASDAQ,The Kraft Heinz Company,108870000000.0,46371.32,6,01/6/2023,Medium,Huge,1.0
10,11,Shea,Banville,SCI,Consumer Services,NYSE,Service Corporation International,6050000000.0,48562.55,6,01/6/2023,Medium,Large,5.0
20,21,Piotr,Melmar,VCRA,Consumer Durables,NYSE,"Vocera Communications, Inc.",763420000.0,48182.78,6,01/6/2023,Medium,Medium,5.0
22,23,Sheree,Nuscha,TAP,Consumer Non-Durables,NYSE,Molson Coors Brewing  Company,14140000000.0,8517.25,6,01/6/2023,Low,Large,5.0
26,27,Olympie,Albery,RDUS,Health Care,NASDAQ,"Radius Health, Inc.",1770000000.0,9740.05,6,01/6/2023,Low,Large,1.0
36,37,Clementia,Walduck,LTRX,Technology,NASDAQ,"Lantronix, Inc.",40450000.0,96750.42,6,01/6/2023,Very High,Small,5.0
48,49,Cahra,Keatley,FBIO,Health Care,NASDAQ,"Fortress Biotech, Inc.",222970000.0,97961.94,6,01/6/2023,Very High,Medium,5.0
67,68,Cassandre,Grout,SAP,Technology,NYSE,SAP SE,126800000000.0,82246.47,6,01/6/2023,Very High,Huge,2.0
79,80,Courtney,Mayo,DAVE,Consumer Services,NASDAQ,"Famous Dave's of America, Inc.",24350000.0,49427.98,6,01/6/2023,Medium,Small,1.0
102,103,Kathrine,Jentges,FCEL,Miscellaneous,NASDAQ,"FuelCell Energy, Inc.",65530000.0,99071.00,6,01/6/2023,Very High,Small,1.0
121,122,Herold,Bray,NVET,Health Care,NASDAQ,Nexvet Biopharma plc,79270000.0,8030.70,6,01/6/2023,Low,Small,4.0
129,130,Rafa,Worsom,AMRK,Basic Industries,NASDAQ,"A-Mark Precious Metals, Inc.",112500000.0,48678.25,6,01/6/2023,Medium,Medium,4.0
186,187,Nora,de Guise,MOSY,Technology,NASDAQ,"MoSys, Inc.",14150000.0,74191.57,6,01/6/2023,High,Small,1.0
188,189,Terese,Piwell,ESV,Energy,NYSE,ENSCO plc,1740000000.0,49296.37,6,01/6/2023,Medium,Large,2.0
217,218,Andros,Legges,TGI,Capital Goods,NYSE,"Triumph Group, Inc.",1580000000.0,74520.13,6,01/6/2023,High,Large,5.0
237,238,Glynn,Hawken,ACFC,Finance,NASDAQ,Atlantic Coast Financial Corporation,119140000.0,98337.86,6,01/6/2023,Very High,Medium,4.0
247,248,Essy,Kaysor,SNY,Health Care,NYSE,Sanofi,123340000000.0,62990.84,6,01/6/2023,High,Huge,2.0
251,252,Nertie,Clewer,CNO,Finance,NYSE,"CNO Financial Group, Inc.",3530000000.0,98661.40,6,01/6/2023,Very High,Large,2.0
254,255,Reade,Rosewall,TUES,Consumer Services,NASDAQ,Tuesday Morning Corp.,83440000.0,97735.51,6,01/6/2023,Very High,Small,4.0
265,266,Ola,Moores,SITE,Consumer Non-Durables,NYSE,"SiteOne Landscape Supply, Inc.",1970000000.0,98281.12,6,01/6/2023,Very High,Large,4.0
271,272,Bartlett,Assante,CHCT,Consumer Services,NYSE,Community Healthcare Trust Incorporated,345190000.0,9990.54,6,01/6/2023,Low,Medium,1.0
277,278,Chloette,Avey,FTFT,Consumer Non-Durables,NASDAQ,Future FinTech Group Inc.,13090000.0,9863.31,6,01/6/2023,Low,Small,1.0
279,280,Emili,Greenhowe,ATO,Public Utilities,NYSE,Atmos Energy Corporation,9010000000.0,49960.42,6,01/6/2023,Medium,Large,1.0
287,288,Rahal,Snawdon,OR,Basic Industries,NYSE,Osisko Gold Royalties Ltd,1280000000.0,74616.51,6,01/6/2023,High,Large,4.0
296,297,Ethyl,Van der Hoeven,JNJ,Health Care,NYSE,Johnson & Johnson,361920000000.0,63276.99,6,01/6/2023,High,Huge,1.0
304,305,Isabella,Andrivot,GLNG,Consumer Services,NASDAQ,Golar LNG Limited,2180000000.0,74722.36,6,01/6/2023,High,Large,3.0
341,342,Port,Ahlf,ITIC,Finance,NASDAQ,Investors Title Company,365710000.0,48805.10,6,01/6/2023,Medium,Medium,3.0
368,369,Jorge,Spacy,FBZ,,NASDAQ,First Trust Brazil AlphaDEX Fund,25390000.0,47325.13,6,01/6/2023,Medium,Small,4.0
381,382,Cathi,Dibsdale,IGD,,NYSE,Voya Global Equity Dividend and Premium Opportunity Fund,729050000.0,73485.54,6,01/6/2023,High,Medium,5.0
407,408,Casie,Nosworthy,SIR,Consumer Services,NASDAQ,Select Income REIT,2210000000.0,98606.66,6,01/6/2023,Very High,Large,3.0
412,413,Olvan,Rizzelli,UNB,Finance,NASDAQ,"Union Bankshares, Inc.",207260000.0,74574.28,6,01/6/2023,High,Medium,1.0
414,415,Loria,Vaggers,DXTR,Health Care,NASDAQ,Dextera Surgical Inc.,2970000.0,71473.97,6,01/6/2023,High,Small,5.0
423,424,Mayer,Briat,NM,Transportation,NYSE,Navios Maritime Holdings Inc.,133530000.0,48957.80,6,01/6/2023,Medium,Medium,2.0
442,443,Inglebert,Cragoe,PAYC,Technology,NYSE,"Paycom Software, Inc.",4120000000.0,9717.16,6,01/6/2023,Low,Large,2.0
462,463,Prudy,Maisey,GWB,Finance,NYSE,"Great Western Bancorp, Inc.",2340000000.0,49148.13,6,01/6/2023,Medium,Large,4.0
470,471,Helaine,Armistead,TSRO,Health Care,NASDAQ,"TESARO, Inc.",7770000000.0,74914.77,6,01/6/2023,High,Large,2.0
471,472,Ivy,Perks,CASI,Health Care,NASDAQ,"CASI Pharmaceuticals, Inc.",55380000.0,98738.91,6,01/6/2023,Very High,Small,2.0
484,485,Nevins,McNair,EYES,,NASDAQ,"Second Sight Medical Products, Inc.",62000000.0,71766.77,6,01/6/2023,High,Small,4.0
490,491,Sarah,Wormell,RA,,NYSE,Brookfield Real Assets Income Fund Inc.,858040000.0,73963.38,6,01/6/2023,High,Medium,4.0
495,496,Galen,Mougin,VCSH,,NASDAQ,Vanguard Short-Term Corporate Bond ETF,19140000000.0,98089.43,6,01/6/2023,Very High,Large,5.0
499,500,Augusto,Trebilcock,UNH,Health Care,NYSE,UnitedHealth Group Incorporated,175030000000.0,42275.72,6,01/6/2023,Medium,Huge,2.0
526,527,Blondell,Stable,ELEC,Finance,NASDAQ,Electrum Special Acquisition Corporation,252500000.0,98733.53,6,01/6/2023,Very High,Medium,1.0
556,557,Carleen,Scardefield,ORIG,Energy,NASDAQ,Ocean Rig UDW Inc.,13200000.0,72480.61,6,01/6/2023,High,Small,3.0
570,571,Kameko,Greenway,HTD,,NYSE,John Hancock Tax Advantaged Dividend Income Fund,901610000.0,98596.30,6,01/6/2023,Very High,Medium,2.0
588,589,Dunstan,Stroulger,VZ,Public Utilities,NYSE,Verizon Communications Inc.,190220000000.0,7682.81,6,01/6/2023,Low,Huge,1.0
594,595,Wayne,Burnsall,FARM,Consumer Non-Durables,NASDAQ,Farmer Brothers Company,517130000.0,49220.67,6,01/6/2023,Medium,Medium,1.0
599,600,Meade,Georgiev,BSET,Consumer Durables,NASDAQ,"Bassett Furniture Industries, Incorporated",342510000.0,74480.97,6,01/6/2023,High,Medium,2.0
656,657,Town,Nockalls,V,Miscellaneous,NYSE,Visa Inc.,217120000000.0,92173.88,6,01/6/2023,Very High,Huge,1.0
658,659,Giulietta,Hedworth,UBCP,Finance,NASDAQ,"United Bancorp, Inc.",63570000.0,98586.61,6,01/6/2023,Very High,Small,3.0
682,683,Mayer,Jordine,SBCF,Finance,NASDAQ,Seacoast Banking Corporation of Florida,1070000000.0000001,74931.39,6,01/6/2023,High,Large,1.0
693,694,Jerrylee,Andrini,SRET,,NASDAQ,Global X SuperDividend REIT ETF,3090000.0,47654.27,6,01/6/2023,Medium,Small,3.0
730,731,Ferdinande,Collett,APPS,Miscellaneous,NASDAQ,"Digital Turbine, Inc.",69300000.0,8249.57,6,01/6/2023,Low,Small,3.0
734,735,Langsdon,Cortese,HOS,Consumer Services,NYSE,Hornbeck Offshore Services,97070000.0,48689.45,6,01/6/2023,Medium,Small,2.0
741,742,Lyda,Cattellion,BNTC,Health Care,NASDAQ,Benitec Biopharma Limited,21440000.0,7934.21,6,01/6/2023,Low,Small,5.0
742,743,Kristine,Sabater,PRAN,Health Care,NASDAQ,Prana Biotechnology Ltd,18770000.0,47041.11,6,01/6/2023,Medium,Small,5.0
746,747,Chuck,Hedingham,DIS,Consumer Services,NYSE,Walt Disney Company (The),165110000000.0,14255.13,6,01/6/2023,Low,Huge,2.0
755,756,Reinold,Cornillot,KRNT,Capital Goods,NASDAQ,Kornit Digital Ltd.,643740000.0,74095.37,6,01/6/2023,High,Medium,3.0
793,794,Vicky,Aleksankin,CABO,Consumer Services,NYSE,"Cable One, Inc.",4139999999.9999995,49205.43,6,01/6/2023,Medium,Large,3.0
798,799,Gregorius,Solly,HBK,Finance,NASDAQ,"Hamilton Bancorp, Inc.",49800000.0,73200.09,6,01/6/2023,High,Small,2.0
800,801,Sonnie,Rourke,SB,Transportation,NYSE,"Safe Bulkers, Inc",236500000.0,9867.60,6,01/6/2023,Low,Medium,2.0
831,832,Roxine,Andrzejewski,EEP,Energy,NYSE,"Enbridge Energy, L.P.",6760000000.0,9169.74,6,01/6/2023,Low,Large,4.0
839,840,Jemimah,Corker,MQT,,NYSE,"Blackrock MuniYield Quality Fund II, Inc.",296860000.0,9752.03,6,01/6/2023,Low,Medium,3.0
854,855,Tamqrah,Dominy,MBTF,Finance,NASDAQ,M B T Financial Corp,229800000.0,9704.87,6,01/6/2023,Low,Medium,4.0
858,859,Max,Kasper,SGMO,Health Care,NASDAQ,"Sangamo Therapeutics, Inc.",535950000.00000006,98510.78,6,01/6/2023,Very High,Medium,3.0
885,886,Morse,Hunte,BME,,NYSE,Blackrock Health Sciences Trust,305710000.0,9630.38,6,01/6/2023,Low,Medium,5.0
930,931,Cariotta,Babber,QUMU,Technology,NASDAQ,Qumu Corporation,29240000.0,8949.48,6,01/6/2023,Low,Small,2.0
951,952,Libbi,Czajkowski,FCX,Basic Industries,NYSE,"Freeport-McMoran, Inc.",16520000000.0,9459.65,6,01/6/2023,Low,Large,3.0
992,993,Decca,Vergine,ARES,Finance,NYSE,Ares Management L.P.,3790000000.0,99597.83,6,01/6/2023,Very High,Large,1.0
0,1,Hadley,Willets,AFMD,Health Care,NASDAQ,Affimed N.V.,87880000.0,99959.38,4,01/4/2023,Very High,Small,1.0
8,9,Ansell,Sherrell,EGIF,,NYSE,Eagle Growth and Income Opportunities Fund,123200000.0,971.92,4,01/4/2023,Low,Medium,3.0
26,27,Falkner,Sanson,OTTW,Finance,NASDAQ,"Ottawa Bancorp, Inc.",48540000.0,9168.92,4,01/4/2023,Low,Small,1.0
38,39,Maddalena,Haysar,PTR,Energy,NYSE,PetroChina Company Limited,116380000000.0,40852.83,4,01/4/2023,Medium,Huge,2.0
56,57,Ransom,Masters,KONE,Technology,NASDAQ,Kingtone Wirelessinfo Solution Holding Ltd,5160000.0,74999.62,4,01/4/2023,High,Small,1.0
58,59,Konstance,O' Loughran,FRP,Public Utilities,NASDAQ,"FairPoint Communications, Inc.",423980000.0,99164.81,4,01/4/2023,Very High,Medium,4.0
68,69,Abigale,Lindermann,USDP,Transportation,NYSE,USD Partners LP,300480000.0,99437.08,4,01/4/2023,Very High,Medium,3.0
70,71,Monti,Drew,PMPT,,NASDAQ,iSectors Post-MPT Growth ETF,11340000.0,74887.30,4,01/4/2023,High,Small,2.0
71,72,Shadow,Lintot,LW,Consumer Non-Durables,NYSE,"Lamb Weston Holdings, Inc.",6580000000.0,73947.71,4,01/4/2023,High,Large,4.0
80,81,Edithe,Fortye,PFBX,Finance,NASDAQ,Peoples Financial Corporation,66090000.0,72675.37,4,01/4/2023,High,Small,5.0
86,87,Stu,Liddon,CZNC,Finance,NASDAQ,Citizens & Northern Corp,287820000.0,74886.85,4,01/4/2023,High,Medium,2.0
88,89,Sonia,Mapstone,DGLD,Finance,NASDAQ,VelocityShares 3x Inverse Gold ETN,18660000.0,48531.32,4,01/4/2023,Medium,Small,4.0
101,102,Nelle,Skeldinge,WMS,Capital Goods,NYSE,"Advanced Drainage Systems, Inc.",1130000000.0,73635.15,4,01/4/2023,High,Large,5.0
103,104,Aurelea,Mallall,DVCR,Health Care,NASDAQ,Diversicare Healthcare Services Inc.,62000000.0,98059.53,4,01/4/2023,Very High,Small,4.0
123,124,Tait,Phettis,HTGM,Capital Goods,NASDAQ,"HTG Molecular Diagnostics, Inc.",26860000.0,6459.59,4,01/4/2023,Low,Small,3.0
176,177,Margarita,Mulholland,KIRK,Consumer Services,NASDAQ,"Kirkland's, Inc.",147550000.0,9847.60,4,01/4/2023,Low,Medium,2.0
202,203,Tallulah,Patterson,MS,Finance,NYSE,Morgan Stanley,82280000000.0,49108.55,4,01/4/2023,Medium,Large,2.0
208,209,Judas,Mebes,THO,Consumer Non-Durables,NYSE,"Thor Industries, Inc.",5530000000.0,48034.38,4,01/4/2023,Medium,Large,4.0
231,232,Christos,McClenaghan,ORCL,Technology,NYSE,Oracle Corporation,185530000000.0,90852.97,4,01/4/2023,Very High,Huge,1.0
236,237,Eldredge,Eymer,ONVI,Miscellaneous,NASDAQ,"Onvia, Inc.",30650000.0,98193.88,4,01/4/2023,Very High,Small,3.0
237,238,Orella,Dockreay,RRD,Miscellaneous,NASDAQ,R.R. Donnelley & Sons Company,864500000.0,99982.79,4,01/4/2023,Very High,Medium,1.0
244,245,Petronia,Moulin,RTTR,Health Care,NASDAQ,"Ritter Pharmaceuticals, Inc.",9140000.0,98807.33,4,01/4/2023,Very High,Small,2.0
266,267,Lazaro,Imlach,GE,Energy,NYSE,General Electric Company,251830000000.0,79900.69,4,01/4/2023,Very High,Huge,5.0
269,270,Casandra,Peirazzi,INO,Health Care,NASDAQ,"Inovio Pharmaceuticals, Inc.",585080000.0,49913.33,4,01/4/2023,Medium,Medium,2.0
329,330,Lorianne,Hantusch,SNY,Health Care,NYSE,Sanofi,123340000000.0,4933.43,4,01/4/2023,Low,Huge,1.0
342,343,Marga,Rudd,MRK,Health Care,NYSE,"Merck & Company, Inc.",172230000000.0,87754.61,4,01/4/2023,Very High,Huge,2.0
343,344,Bronson,Chappel,IART,Capital Goods,NASDAQ,Integra LifeSciences Holdings Corporation,3990000000.0,98738.19,4,01/4/2023,Very High,Large,5.0
357,358,Ursuline,Plom,WEYS,Consumer Non-Durables,NASDAQ,"Weyco Group, Inc.",291310000.0,49986.44,4,01/4/2023,Medium,Medium,1.0
393,394,Colas,Bemwell,ABT,Health Care,NYSE,Abbott Laboratories,83660000000.0,48477.86,4,01/4/2023,Medium,Large,3.0
397,398,Law,Roberson,CVX,Energy,NYSE,Chevron Corporation,205280000000.0,29937.46,4,01/4/2023,Medium,Huge,3.0
427,428,Deena,Harbert,ACBI,Finance,NASDAQ,"Atlantic Capital Bancshares, Inc.",482160000.0,98972.02,4,01/4/2023,Very High,Medium,5.0
481,482,Adrianna,Headley,DWAT,,NASDAQ,Arrow DWA Tactical ETF,8670000.0,49905.45,4,01/4/2023,Medium,Small,1.0
485,486,Dorine,Backsal,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,195790000000.0,73906.69,4,01/4/2023,High,Huge,1.0
503,504,Zach,Ick,JPC,,NYSE,Nuveen Preferred Income Opportunites Fund,999980000.0,74937.80,4,01/4/2023,High,Medium,1.0
521,522,Niall,Sharpling,PQ,Energy,NYSE,Petroquest Energy Inc,46900000.0,73694.08,4,01/4/2023,High,Small,3.0
566,567,Winifield,Dallander,TRNO,Finance,NYSE,Terreno Realty Corporation,1630000000.0,99621.04,4,01/4/2023,Very High,Large,2.0
578,579,Emmy,Tomasutti,KIO,,NYSE,KKR Income Opportunities Fund,271700000.0,9921.75,4,01/4/2023,Low,Medium,1.0
588,589,Ive,Fitzmaurice,PFIE,Energy,NASDAQ,"Profire Energy, Inc.",63600000.0,6294.48,4,01/4/2023,Low,Small,4.0
607,608,Thorstein,MacGilfoyle,TWIN,Technology,NASDAQ,"Twin Disc, Incorporated",194790000.0,48749.14,4,01/4/2023,Medium,Medium,3.0
615,616,Caril,Beckett,MOV,Consumer Non-Durables,NYSE,Movado Group Inc.,512470000.0,47857.51,4,01/4/2023,Medium,Medium,4.0
616,617,Prentice,Wollers,PRCP,Capital Goods,NASDAQ,"Perceptron, Inc.",68490000.0,8318.01,4,01/4/2023,Low,Small,2.0
635,636,Gradeigh,Temlett,DGI,Consumer Services,NYSE,"DigitalGlobe, Inc",1960000000.0,99574.64,4,01/4/2023,Very High,Large,3.0
639,640,Bellanca,Martinyuk,HBIO,Capital Goods,NASDAQ,"Harvard Bioscience, Inc.",86550000.0,48320.17,4,01/4/2023,Medium,Small,5.0
648,649,Anna-maria,Torritti,HVT,Consumer Services,NYSE,"Haverty Furniture Companies, Inc.",519539999.99999994,9528.08,4,01/4/2023,Low,Medium,5.0
653,654,Glyn,Pyrke,JHG,Finance,NYSE,Janus Henderson Group plc,367060000.0,47830.43,4,01/4/2023,Medium,Medium,5.0
658,659,Keenan,Drinkale,SYNA,Technology,NASDAQ,Synaptics Incorporated,1810000000.0,9316.33,4,01/4/2023,Low,Large,3.0
682,683,Giordano,Skally,FINL,Consumer Services,NASDAQ,"The Finish Line, Inc.",551940000.0,74009.62,4,01/4/2023,High,Medium,4.0
696,697,Casandra,Gibard,GGG,Capital Goods,NYSE,Graco Inc.,6280000000.0,49492.93,4,01/4/2023,Medium,Large,1.0
704,705,Margaret,Yakovich,SKX,Consumer Non-Durables,NYSE,"Skechers U.S.A., Inc.",4350000000.0,74495.13,4,01/4/2023,High,Large,1.0
715,716,Bettine,Burgh,TIG,Health Care,NASDAQ,TiGenix,103100000000.0,85697.37,4,01/4/2023,Very High,Huge,3.0
718,719,Andras,Toth,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,195790000000.0,81907.58,4,01/4/2023,Very High,Huge,4.0
737,738,Chrysa,Scini,CADC,Basic Industries,NASDAQ,"China Advanced Construction Materials Group, Inc.",5730000.0,49544.40,4,01/4/2023,Medium,Small,3.0
740,741,Ethyl,Mollitt,NEOS,Health Care,NASDAQ,"Neos Therapeutics, Inc.",195150000.0,74227.86,4,01/4/2023,High,Medium,3.0
753,754,Heywood,Govier,ICE,Finance,NYSE,Intercontinental Exchange Inc.,38230000000.0,9906.27,4,01/4/2023,Low,Large,1.0
769,770,Aubine,Aubin,PFE,Health Care,NYSE,"Pfizer, Inc.",196760000000.0,72346.96,4,01/4/2023,High,Huge,2.0
777,778,Abran,Semens,FIT,Technology,NYSE,"Fitbit, Inc.",1160000000.0,74355.04,4,01/4/2023,High,Large,3.0
793,794,Ninon,Ponsford,DRE,Consumer Services,NYSE,Duke Realty Corporation,10250000000.0,9092.47,4,01/4/2023,Low,Large,5.0
799,800,Silvana,Pinches,SBGL,Basic Industries,NYSE,Sibanye Gold Limited,2550000000.0,74409.16,4,01/4/2023,High,Large,2.0
814,815,Brendin,Scholer,BA,Capital Goods,NYSE,Boeing Company (The),118570000000.0,48273.04,4,01/4/2023,Medium,Huge,1.0
824,825,Roberta,Caunter,SBRAP,Consumer Services,NASDAQ,"Sabra Healthcare REIT, Inc.",146630000.0,99611.62,4,01/4/2023,Very High,Medium,2.0
884,885,Ginnifer,Lukins,PFIS,Finance,NASDAQ,Peoples Financial Services Corp. ,325510000.0,966.00,4,01/4/2023,Low,Medium,4.0
896,897,Cecilia,Dunstan,FL,Consumer Services,NYSE,"Foot Locker, Inc.",6830000000.0,98942.99,4,01/4/2023,Very High,Large,4.0
904,905,Wesley,Went,NTIC,Capital Goods,NASDAQ,Northern Technologies International Corporation,73300000.0,49660.59,4,01/4/2023,Medium,Small,2.0
913,914,Hinze,Attkins,SNPS,Technology,NASDAQ,"Synopsys, Inc.",11090000000.0,99646.50,4,01/4/2023,Very High,Large,1.0
920,921,Harley,Ibotson,VVI,Miscellaneous,NYSE,Viad Corp,940530000.0,72829.95,4,01/4/2023,High,Medium,5.0
924,925,Josy,Goldhawk,SFR,Consumer Services,NYSE,Colony Starwood Homes,4370000000.0,9546.69,4,01/4/2023,Low,Large,2.0
944,945,Glyn,Shankland,AET,Health Care,NYSE,Aetna Inc.,49950000000.0,9096.94,4,01/4/2023,Low,Large,4.0
954,955,Kristan,Bloan,ARLZ,Health Care,NASDAQ,Aralez Pharmaceuticals Inc.,79480000.0,97660.24,4,01/4/2023,Very High,Small,5.0
959,960,Edmund,Disley,AAV,Energy,NYSE,Advantage Oil & Gas Ltd,1150000000.0,47877.61,4,01/4/2023,Medium,Large,5.0
964,965,Mersey,Chevolleau,CLWT,Consumer Durables,NASDAQ,Euro Tech Holdings Company Limited,6080000.0,596.81,4,01/4/2023,Low,Small,5.0
995,996,Cletus,Joseff,TLF,Consumer Non-Durables,NASDAQ,"Tandy Leather Factory, Inc.",76520000.0,72741.97,4,01/4/2023,High,Small,4.0
3,4,Verney,Giacobillo,MMM,Health Care,NYSE,3M Company,127360000000.0,96110.73,5,01/5/2023,Very High,Huge,1.0
12,13,Ellyn,Worner,IPDN,Technology,NASDAQ,"Professional Diversity Network, Inc.",31400000.0,74320.88,5,01/5/2023,High,Small,1.0
18,19,Gawen,Clayson,KMPR,Finance,NYSE,Kemper Corporation,2049999999.9999998,49657.62,5,01/5/2023,Medium,Large,4.0
19,20,Valle,Dome,KB,Finance,NYSE,KB Financial Group Inc,19260000000.0,49949.66,5,01/5/2023,Medium,Large,2.0
45,46,Filippa,McGillacoell,FLN,,NASDAQ,First Trust Latin America AlphaDEX Fund,35140000.0,97059.76,5,01/5/2023,Very High,Small,3.0
93,94,Richard,Eaves,MMM,Health Care,NYSE,3M Company,127360000000.0,60479.11,5,01/5/2023,High,Huge,3.0
150,151,Quinlan,Bernardy,CAA,Capital Goods,NYSE,"CalAtlantic Group, Inc.",3960000000.0,9902.33,5,01/5/2023,Low,Large,1.0
157,158,Charlie,Ferry,RSG,Public Utilities,NYSE,"Republic Services, Inc.",21910000000.0,9694.59,5,01/5/2023,Low,Large,2.0
161,162,Phoebe,Earlam,RADA,Consumer Non-Durables,NASDAQ,RADA Electronic Industries Ltd.,36150000.0,98743.23,5,01/5/2023,Very High,Small,2.0
169,170,Ciro,Kebbell,TEAR,Health Care,NASDAQ,TearLab Corporation,9010000.0,96069.44,5,01/5/2023,Very High,Small,4.0
186,187,Karoly,Kynoch,RFEM,,NASDAQ,First Trust RiverFront Dynamic Emerging Markets ETF,31030000.0,4546.92,5,01/5/2023,Low,Small,4.0
189,190,Lesli,Flewitt,MCD,Consumer Services,NYSE,McDonald's Corporation,123880000000.0,57256.94,5,01/5/2023,High,Huge,5.0
204,205,Bryon,Battey,WES,Public Utilities,NYSE,"Western Gas Partners, LP",8390000000.000001,99514.72,5,01/5/2023,Very High,Large,4.0
217,218,Haleigh,Pretty,PTIE,Health Care,NASDAQ,"Pain Therapeutics, Inc.",27030000.0,46914.07,5,01/5/2023,Medium,Small,5.0
228,229,Reinaldo,Strowlger,MYI,,NYSE,"Blackrock MuniYield Quality Fund III, Inc.",975820000.0,98236.89,5,01/5/2023,Very High,Medium,3.0
251,252,Robinet,Keilty,DTYL,Finance,NASDAQ,iPath US Treasury 10-year Bull ETN,5270000.0,99565.50,5,01/5/2023,Very High,Small,1.0
254,255,Janeta,Couronne,RGA,Finance,NYSE,"Reinsurance Group of America, Incorporated",8289999999.999999,74232.12,5,01/5/2023,High,Large,3.0
274,275,Felicio,Arnowitz,CP,Transportation,NYSE,Canadian Pacific Railway Limited,22760000000.0,49976.54,5,01/5/2023,Medium,Large,1.0
