,Rank,id,Student_Name,Date,Term,GPA,3 Term GPA Moving
396,396,124,Sianna Chipps,2022-06-16,Term 6,4.0,5.58
397,397,28,Shoshana Bowker,2020-12-16,Term 1,6.0,5.92
398,398,28,Shoshana Bowker,2021-03-16,Term 2,4.5,6.0
399,399,28,Shoshana Bowker,2021-06-01,Term 3,3.5,4.67
400,400,28,Shoshana Bowker,2021-12-16,Term 4,7.5,5.17
401,401,28,Shoshana Bowker,2022-03-16,Term 5,6.25,5.75
402,402,28,Shoshana Bowker,2022-06-16,Term 6,4.5,6.08
403,403,288,Shepperd Brackenridge,2020-12-16,Term 1,5.75,5.92
404,404,288,Shepperd Brackenridge,2021-03-16,Term 2,8.5,6.92
405,405,288,Shepperd Brackenridge,2021-06-01,Term 3,3.75,6.0
406,406,288,Shepperd Brackenridge,2021-12-16,Term 4,6.25,6.17
407,407,288,Shepperd Brackenridge,2022-03-16,Term 5,3.75,4.58
408,408,288,Shepperd Brackenridge,2022-06-16,Term 6,5.0,5.0
409,409,384,Shepherd Poley,2020-12-16,Term 1,5.25,5.33
410,410,384,Shepherd Poley,2021-03-16,Term 2,6.25,5.25
411,411,384,Shepherd Poley,2021-06-01,Term 3,6.25,5.92
412,412,384,Shepherd Poley,2021-12-16,Term 4,5.5,6.0
413,413,384,Shepherd Poley,2022-03-16,Term 5,3.75,5.17
414,414,384,Shepherd Poley,2022-06-16,Term 6,7.25,5.5
415,415,220,Shani Tuminelli,2020-12-16,Term 1,4.75,5.25
416,416,220,Shani Tuminelli,2021-03-16,Term 2,4.25,4.5
417,417,220,Shani Tuminelli,2021-06-01,Term 3,5.25,4.75
418,418,220,Shani Tuminelli,2021-12-16,Term 4,3.25,4.25
419,419,220,Shani Tuminelli,2022-03-16,Term 5,3.0,3.83
420,420,220,Shani Tuminelli,2022-06-16,Term 6,4.5,3.58
421,421,272,Serene Grouvel,2020-12-16,Term 1,6.5,5.67
422,422,272,Serene Grouvel,2021-03-16,Term 2,4.0,5.67
423,423,272,Serene Grouvel,2021-06-01,Term 3,6.25,5.58
424,424,272,Serene Grouvel,2021-12-16,Term 4,5.25,5.17
425,425,272,Serene Grouvel,2022-03-16,Term 5,6.5,6.0
426,426,272,Serene Grouvel,2022-06-16,Term 6,7.0,6.25
427,427,35,Saxe Creevy,2020-12-16,Term 1,4.5,6.42
428,428,35,Saxe Creevy,2021-03-16,Term 2,5.75,5.67
429,429,35,Saxe Creevy,2021-06-01,Term 3,6.25,5.5
430,430,35,Saxe Creevy,2021-12-16,Term 4,5.5,5.83
431,431,35,Saxe Creevy,2022-03-16,Term 5,6.0,5.92
432,432,35,Saxe Creevy,2022-06-16,Term 6,2.75,4.75
433,433,14,Saundra Deely,2020-12-16,Term 1,3.0,5.25
434,434,14,Saundra Deely,2021-03-16,Term 2,4.5,4.33
435,435,14,Saundra Deely,2021-06-01,Term 3,5.25,4.25
436,436,14,Saundra Deely,2021-12-16,Term 4,7.0,5.58
437,437,14,Saundra Deely,2022-03-16,Term 5,4.5,5.58
438,438,14,Saundra Deely,2022-06-16,Term 6,4.25,5.25
439,439,368,Saraann Christoffersen,2020-12-16,Term 1,3.75,4.83
440,440,368,Saraann Christoffersen,2021-03-16,Term 2,4.25,3.83
441,441,368,Saraann Christoffersen,2021-06-01,Term 3,4.0,4.0
442,442,368,Saraann Christoffersen,2021-12-16,Term 4,6.5,4.92
443,443,368,Saraann Christoffersen,2022-03-16,Term 5,4.25,4.92
444,444,368,Saraann Christoffersen,2022-06-16,Term 6,4.75,5.17
445,445,328,Sanson Ramsbottom,2020-12-16,Term 1,7.0,5.25
446,446,328,Sanson Ramsbottom,2021-03-16,Term 2,6.5,5.67
447,447,328,Sanson Ramsbottom,2021-06-01,Term 3,3.75,5.75
448,448,328,Sanson Ramsbottom,2021-12-16,Term 4,4.0,4.75
449,449,328,Sanson Ramsbottom,2022-03-16,Term 5,4.75,4.17
450,450,328,Sanson Ramsbottom,2022-06-16,Term 6,5.0,4.58
451,451,37,Sandy Pote,2020-12-16,Term 1,7.5,4.5
452,452,37,Sandy Pote,2021-03-16,Term 2,2.25,4.17
453,453,37,Sandy Pote,2021-06-01,Term 3,3.5,4.42
454,454,37,Sandy Pote,2021-12-16,Term 4,4.5,3.42
455,455,37,Sandy Pote,2022-03-16,Term 5,2.0,3.33
456,456,37,Sandy Pote,2022-06-16,Term 6,2.75,3.08
457,457,449,Samantha Francescotti,2020-12-16,Term 1,4.5,5.25
458,458,449,Samantha Francescotti,2021-03-16,Term 2,6.5,5.33
459,459,449,Samantha Francescotti,2021-06-01,Term 3,7.75,6.25
460,460,449,Samantha Francescotti,2021-12-16,Term 4,5.5,6.58
461,461,449,Samantha Francescotti,2022-03-16,Term 5,7.25,6.83
462,462,449,Samantha Francescotti,2022-06-16,Term 6,5.0,5.92
463,463,34,Sadie Ashling,2020-12-16,Term 1,5.5,4.25
464,464,34,Sadie Ashling,2021-03-16,Term 2,4.25,4.75
465,465,34,Sadie Ashling,2021-06-01,Term 3,7.0,5.58
466,466,34,Sadie Ashling,2021-12-16,Term 4,8.25,6.5
467,467,34,Sadie Ashling,2022-03-16,Term 5,8.0,7.75
468,468,34,Sadie Ashling,2022-06-16,Term 6,6.75,7.67
469,469,11,Sada Whales,2020-12-16,Term 1,5.75,5.0
470,470,11,Sada Whales,2021-03-16,Term 2,5.75,5.33
471,471,11,Sada Whales,2021-06-01,Term 3,6.0,5.83
472,472,11,Sada Whales,2021-12-16,Term 4,5.25,5.67
473,473,11,Sada Whales,2022-03-16,Term 5,4.75,5.33
474,474,11,Sada Whales,2022-06-16,Term 6,3.75,4.58
475,475,134,Rutledge Smith,2020-12-16,Term 1,6.25,5.25
476,476,134,Rutledge Smith,2021-03-16,Term 2,4.25,4.92
477,477,134,Rutledge Smith,2021-06-01,Term 3,4.25,4.92
478,478,134,Rutledge Smith,2021-12-16,Term 4,3.75,4.08
479,479,134,Rutledge Smith,2022-03-16,Term 5,4.25,4.08
480,480,134,Rutledge Smith,2022-06-16,Term 6,6.5,4.83
481,481,378,Russ Pieche,2020-12-16,Term 1,4.75,5.25
482,482,378,Russ Pieche,2021-03-16,Term 2,5.0,5.0
483,483,378,Russ Pieche,2021-06-01,Term 3,5.5,5.08
484,484,378,Russ Pieche,2021-12-16,Term 4,7.5,6.0
485,485,378,Russ Pieche,2022-03-16,Term 5,5.25,6.08
486,486,378,Russ Pieche,2022-06-16,Term 6,5.0,5.92
487,487,389,Rudolph Docker,2020-12-16,Term 1,4.5,4.0
488,488,389,Rudolph Docker,2021-03-16,Term 2,4.0,3.92
489,489,389,Rudolph Docker,2021-06-01,Term 3,6.0,4.83
490,490,389,Rudolph Docker,2021-12-16,Term 4,4.75,4.92
491,491,389,Rudolph Docker,2022-03-16,Term 5,5.0,5.25
492,492,389,Rudolph Docker,2022-06-16,Term 6,4.0,4.58
493,493,155,Rosana Pocklington,2020-12-16,Term 1,4.5,5.58
494,494,155,Rosana Pocklington,2021-03-16,Term 2,1.5,4.58
495,495,155,Rosana Pocklington,2021-06-01,Term 3,4.75,3.58
496,496,155,Rosana Pocklington,2021-12-16,Term 4,7.5,4.58
497,497,155,Rosana Pocklington,2022-03-16,Term 5,4.0,5.42
498,498,155,Rosana Pocklington,2022-06-16,Term 6,5.25,5.58
499,499,415,Romola Breitler,2020-12-16,Term 1,2.75,5.0
500,500,415,Romola Breitler,2021-03-16,Term 2,6.5,4.75
501,501,415,Romola Breitler,2021-06-01,Term 3,3.75,4.33
502,502,415,Romola Breitler,2021-12-16,Term 4,5.75,5.33
503,503,415,Romola Breitler,2022-03-16,Term 5,5.75,5.08
504,504,415,Romola Breitler,2022-06-16,Term 6,2.25,4.58
505,505,139,Rolph Grinsdale,2020-12-16,Term 1,4.5,5.75
506,506,139,Rolph Grinsdale,2021-03-16,Term 2,3.0,4.58
507,507,139,Rolph Grinsdale,2021-06-01,Term 3,5.5,4.33
508,508,139,Rolph Grinsdale,2021-12-16,Term 4,6.0,4.83
509,509,139,Rolph Grinsdale,2022-03-16,Term 5,3.25,4.92
510,510,139,Rolph Grinsdale,2022-06-16,Term 6,6.25,5.17
511,511,321,Rolf Crick,2020-12-16,Term 1,6.0,5.25
512,512,321,Rolf Crick,2021-03-16,Term 2,7.75,6.17
513,513,321,Rolf Crick,2021-06-01,Term 3,5.0,6.25
514,514,321,Rolf Crick,2021-12-16,Term 4,3.75,5.5
515,515,321,Rolf Crick,2022-03-16,Term 5,6.5,5.08
516,516,321,Rolf Crick,2022-06-16,Term 6,4.75,5.0
517,517,295,Roi Sturr,2020-12-16,Term 1,5.0,4.83
518,518,295,Roi Sturr,2021-03-16,Term 2,3.25,5.08
519,519,295,Roi Sturr,2021-06-01,Term 3,4.25,4.17
520,520,295,Roi Sturr,2021-12-16,Term 4,6.0,4.5
521,521,295,Roi Sturr,2022-03-16,Term 5,3.0,4.42
522,522,295,Roi Sturr,2022-06-16,Term 6,2.75,3.92
523,523,100,Rodrick Croughan,2020-12-16,Term 1,6.5,5.08
524,524,100,Rodrick Croughan,2021-03-16,Term 2,6.25,5.58
525,525,100,Rodrick Croughan,2021-06-01,Term 3,5.75,6.17
526,526,100,Rodrick Croughan,2021-12-16,Term 4,7.0,6.33
527,527,100,Rodrick Croughan,2022-03-16,Term 5,5.5,6.08
528,528,100,Rodrick Croughan,2022-06-16,Term 6,5.5,6.0
529,529,468,Robinson Banishevitz,2020-12-16,Term 1,4.5,4.08
530,530,468,Robinson Banishevitz,2021-03-16,Term 2,4.25,4.08
531,531,468,Robinson Banishevitz,2021-06-01,Term 3,4.0,4.25
532,532,468,Robinson Banishevitz,2021-12-16,Term 4,5.25,4.5
533,533,468,Robinson Banishevitz,2022-03-16,Term 5,5.75,5.0
534,534,468,Robinson Banishevitz,2022-06-16,Term 6,6.25,5.75
535,535,13,Robinson Aldrick,2020-12-16,Term 1,6.5,5.0
536,536,13,Robinson Aldrick,2021-03-16,Term 2,6.0,5.42
537,537,13,Robinson Aldrick,2021-06-01,Term 3,3.5,5.33
538,538,13,Robinson Aldrick,2021-12-16,Term 4,5.0,4.83
539,539,13,Robinson Aldrick,2022-03-16,Term 5,7.25,5.25
540,540,13,Robinson Aldrick,2022-06-16,Term 6,5.5,5.92
541,541,376,Robb Arnott,2020-12-16,Term 1,1.5,4.17
542,542,376,Robb Arnott,2021-03-16,Term 2,3.25,3.83
543,543,376,Robb Arnott,2021-06-01,Term 3,7.0,3.92
544,544,376,Robb Arnott,2021-12-16,Term 4,6.0,5.42
545,545,376,Robb Arnott,2022-03-16,Term 5,7.0,6.67
546,546,376,Robb Arnott,2022-06-16,Term 6,4.75,5.92
547,547,348,Rik Fitkin,2020-12-16,Term 1,4.75,4.58
548,548,348,Rik Fitkin,2021-03-16,Term 2,4.0,4.92
549,549,348,Rik Fitkin,2021-06-01,Term 3,7.75,5.5
550,550,348,Rik Fitkin,2021-12-16,Term 4,5.0,5.58
551,551,348,Rik Fitkin,2022-03-16,Term 5,4.25,5.67
552,552,348,Rik Fitkin,2022-06-16,Term 6,4.75,4.67
553,553,359,Ricky Dudeney,2020-12-16,Term 1,7.0,5.75
554,554,359,Ricky Dudeney,2021-03-16,Term 2,4.75,5.5
555,555,359,Ricky Dudeney,2021-06-01,Term 3,5.5,5.75
556,556,359,Ricky Dudeney,2021-12-16,Term 4,5.75,5.33
557,557,359,Ricky Dudeney,2022-03-16,Term 5,3.5,4.92
558,558,359,Ricky Dudeney,2022-06-16,Term 6,5.0,4.75
559,559,338,Richie Daveren,2020-12-16,Term 1,5.5,5.5
560,560,338,Richie Daveren,2021-03-16,Term 2,7.0,5.75
561,561,338,Richie Daveren,2021-06-01,Term 3,4.75,5.75
562,562,338,Richie Daveren,2021-12-16,Term 4,4.75,5.5
563,563,338,Richie Daveren,2022-03-16,Term 5,6.0,5.17
564,564,338,Richie Daveren,2022-06-16,Term 6,5.5,5.42
565,565,103,Rheba Greenard,2020-12-16,Term 1,4.25,5.08
566,566,103,Rheba Greenard,2021-03-16,Term 2,3.0,4.67
567,567,103,Rheba Greenard,2021-06-01,Term 3,5.25,4.17
568,568,103,Rheba Greenard,2021-12-16,Term 4,3.5,3.92
569,569,103,Rheba Greenard,2022-03-16,Term 5,4.25,4.33
570,570,103,Rheba Greenard,2022-06-16,Term 6,3.5,3.75
571,571,245,Reynolds Schirak,2020-12-16,Term 1,5.75,4.75
572,572,245,Reynolds Schirak,2021-03-16,Term 2,7.25,5.58
573,573,245,Reynolds Schirak,2021-06-01,Term 3,4.0,5.67
574,574,245,Reynolds Schirak,2021-12-16,Term 4,5.5,5.58
575,575,245,Reynolds Schirak,2022-03-16,Term 5,3.0,4.17
576,576,245,Reynolds Schirak,2022-06-16,Term 6,5.0,4.5
577,577,140,Renell Bartkiewicz,2020-12-16,Term 1,3.0,4.17
578,578,140,Renell Bartkiewicz,2021-03-16,Term 2,4.25,4.5
579,579,140,Renell Bartkiewicz,2021-06-01,Term 3,1.75,3.0
580,580,140,Renell Bartkiewicz,2021-12-16,Term 4,3.25,3.08
581,581,140,Renell Bartkiewicz,2022-03-16,Term 5,4.5,3.17
582,582,140,Renell Bartkiewicz,2022-06-16,Term 6,5.0,4.25
583,583,424,Reg Houndesome,2020-12-16,Term 1,5.75,5.08
584,584,424,Reg Houndesome,2021-03-16,Term 2,6.25,5.33
585,585,424,Reg Houndesome,2021-06-01,Term 3,4.0,5.33
586,586,424,Reg Houndesome,2021-12-16,Term 4,3.5,4.58
587,587,424,Reg Houndesome,2022-03-16,Term 5,4.5,4.0
588,588,424,Reg Houndesome,2022-06-16,Term 6,4.25,4.08
589,589,141,Rebecca Salvador,2020-12-16,Term 1,4.5,4.67
590,590,141,Rebecca Salvador,2021-03-16,Term 2,4.75,4.75
591,591,141,Rebecca Salvador,2021-06-01,Term 3,5.25,4.83
592,592,141,Rebecca Salvador,2021-12-16,Term 4,6.0,5.33
593,593,141,Rebecca Salvador,2022-03-16,Term 5,3.0,4.75
594,594,141,Rebecca Salvador,2022-06-16,Term 6,4.0,4.33
595,595,128,Rayner Bulteel,2020-12-16,Term 1,6.25,5.42
596,596,128,Rayner Bulteel,2021-03-16,Term 2,3.0,4.5
597,597,128,Rayner Bulteel,2021-06-01,Term 3,4.75,4.67
598,598,128,Rayner Bulteel,2021-12-16,Term 4,7.0,4.92
599,599,128,Rayner Bulteel,2022-03-16,Term 5,4.5,5.42
600,600,128,Rayner Bulteel,2022-06-16,Term 6,7.0,6.17
601,601,420,Randie Wells,2020-12-16,Term 1,4.0,4.25
602,602,420,Randie Wells,2021-03-16,Term 2,5.5,4.17
603,603,420,Randie Wells,2021-06-01,Term 3,3.0,4.17
604,604,420,Randie Wells,2021-12-16,Term 4,6.0,4.83
605,605,420,Randie Wells,2022-03-16,Term 5,4.25,4.42
606,606,420,Randie Wells,2022-06-16,Term 6,5.0,5.08
607,607,147,Randi Muehler,2020-12-16,Term 1,5.5,5.0
608,608,147,Randi Muehler,2021-03-16,Term 2,2.25,4.08
609,609,147,Randi Muehler,2021-06-01,Term 3,4.25,4.0
610,610,147,Randi Muehler,2021-12-16,Term 4,5.0,3.83
611,611,147,Randi Muehler,2022-03-16,Term 5,6.75,5.33
612,612,147,Randi Muehler,2022-06-16,Term 6,6.5,6.08
613,613,62,Ramona Moneti,2020-12-16,Term 1,8.0,6.08
614,614,62,Ramona Moneti,2021-03-16,Term 2,5.5,5.83
615,615,62,Ramona Moneti,2021-06-01,Term 3,5.0,6.17
616,616,62,Ramona Moneti,2021-12-16,Term 4,5.25,5.25
617,617,62,Ramona Moneti,2022-03-16,Term 5,5.5,5.25
618,618,62,Ramona Moneti,2022-06-16,Term 6,2.75,4.5
619,619,437,Quintana Ankrett,2020-12-16,Term 1,5.75,4.17
620,620,437,Quintana Ankrett,2021-03-16,Term 2,2.25,4.17
621,621,437,Quintana Ankrett,2021-06-01,Term 3,5.0,4.33
622,622,437,Quintana Ankrett,2021-12-16,Term 4,4.5,3.92
623,623,437,Quintana Ankrett,2022-03-16,Term 5,6.75,5.42
624,624,437,Quintana Ankrett,2022-06-16,Term 6,2.75,4.67
625,625,51,Portie Akhurst,2020-12-16,Term 1,5.0,6.83
626,626,51,Portie Akhurst,2021-03-16,Term 2,5.0,5.67
627,627,51,Portie Akhurst,2021-06-01,Term 3,3.5,4.5
628,628,51,Portie Akhurst,2021-12-16,Term 4,6.0,4.83
629,629,51,Portie Akhurst,2022-03-16,Term 5,4.0,4.5
630,630,51,Portie Akhurst,2022-06-16,Term 6,6.0,5.33
631,631,64,Pippy Queste,2020-12-16,Term 1,6.75,5.92
632,632,64,Pippy Queste,2021-03-16,Term 2,5.0,6.25
633,633,64,Pippy Queste,2021-06-01,Term 3,5.0,5.58
634,634,64,Pippy Queste,2021-12-16,Term 4,4.75,4.92
635,635,64,Pippy Queste,2022-03-16,Term 5,4.0,4.58
636,636,64,Pippy Queste,2022-06-16,Term 6,7.0,5.25
637,637,282,Phillis Pooke,2020-12-16,Term 1,6.5,5.58
638,638,282,Phillis Pooke,2021-03-16,Term 2,7.5,6.67
639,639,282,Phillis Pooke,2021-06-01,Term 3,3.25,5.75
640,640,282,Phillis Pooke,2021-12-16,Term 4,5.75,5.5
641,641,282,Phillis Pooke,2022-03-16,Term 5,5.5,4.83
642,642,282,Phillis Pooke,2022-06-16,Term 6,5.25,5.5
643,643,241,Phillis Fairrie,2020-12-16,Term 1,5.0,4.17
644,644,241,Phillis Fairrie,2021-03-16,Term 2,7.75,5.0
645,645,241,Phillis Fairrie,2021-06-01,Term 3,6.25,6.33
646,646,241,Phillis Fairrie,2021-12-16,Term 4,4.75,6.25
647,647,241,Phillis Fairrie,2022-03-16,Term 5,2.75,4.58
648,648,241,Phillis Fairrie,2022-06-16,Term 6,5.75,4.42
649,649,88,Phaedra Tulloch,2020-12-16,Term 1,6.25,5.92
650,650,88,Phaedra Tulloch,2021-03-16,Term 2,5.5,6.17
651,651,88,Phaedra Tulloch,2021-06-01,Term 3,5.75,5.83
652,652,88,Phaedra Tulloch,2021-12-16,Term 4,3.0,4.75
653,653,88,Phaedra Tulloch,2022-03-16,Term 5,6.0,4.92
654,654,88,Phaedra Tulloch,2022-06-16,Term 6,3.75,4.25
655,655,322,Perle Gilli,2020-12-16,Term 1,3.0,4.75
656,656,322,Perle Gilli,2021-03-16,Term 2,5.5,4.42
657,657,322,Perle Gilli,2021-06-01,Term 3,5.0,4.5
658,658,322,Perle Gilli,2021-12-16,Term 4,2.75,4.42
659,659,322,Perle Gilli,2022-03-16,Term 5,5.0,4.25
660,660,322,Perle Gilli,2022-06-16,Term 6,2.75,3.5
661,661,225,Penn Korn,2020-12-16,Term 1,5.0,4.17
662,662,225,Penn Korn,2021-03-16,Term 2,3.5,4.17
663,663,225,Penn Korn,2021-06-01,Term 3,5.0,4.5
664,664,225,Penn Korn,2021-12-16,Term 4,5.5,4.67
665,665,225,Penn Korn,2022-03-16,Term 5,6.25,5.58
666,666,225,Penn Korn,2022-06-16,Term 6,7.0,6.25
667,667,276,Pauly Kingaby,2020-12-16,Term 1,4.75,4.58
668,668,276,Pauly Kingaby,2021-03-16,Term 2,3.25,3.92
669,669,276,Pauly Kingaby,2021-06-01,Term 3,5.25,4.42
670,670,276,Pauly Kingaby,2021-12-16,Term 4,4.75,4.42
671,671,276,Pauly Kingaby,2022-03-16,Term 5,4.0,4.67
672,672,276,Pauly Kingaby,2022-06-16,Term 6,7.5,5.42
673,673,428,Pauli Rorke,2020-12-16,Term 1,4.75,5.75
674,674,428,Pauli Rorke,2021-03-16,Term 2,4.0,5.08
675,675,428,Pauli Rorke,2021-06-01,Term 3,6.25,5.0
676,676,428,Pauli Rorke,2021-12-16,Term 4,4.75,5.0
677,677,428,Pauli Rorke,2022-03-16,Term 5,2.75,4.58
678,678,428,Pauli Rorke,2022-06-16,Term 6,6.5,4.67
679,679,463,Patty Pirt,2020-12-16,Term 1,4.5,4.75
680,680,463,Patty Pirt,2021-03-16,Term 2,7.25,5.83
681,681,463,Patty Pirt,2021-06-01,Term 3,5.25,5.67
682,682,463,Patty Pirt,2021-12-16,Term 4,6.25,6.25
683,683,463,Patty Pirt,2022-03-16,Term 5,6.0,5.83
684,684,463,Patty Pirt,2022-06-16,Term 6,4.75,5.67
685,685,264,Patrice Huddart,2020-12-16,Term 1,6.75,5.92
686,686,264,Patrice Huddart,2021-03-16,Term 2,5.25,5.92
687,687,264,Patrice Huddart,2021-06-01,Term 3,4.25,5.42
688,688,264,Patrice Huddart,2021-12-16,Term 4,4.75,4.75
689,689,264,Patrice Huddart,2022-03-16,Term 5,3.0,4.0
690,690,264,Patrice Huddart,2022-06-16,Term 6,5.5,4.42
691,691,346,Pail Zappel,2020-12-16,Term 1,6.25,6.58
692,692,346,Pail Zappel,2021-03-16,Term 2,4.75,5.83
693,693,346,Pail Zappel,2021-06-01,Term 3,7.25,6.08
694,694,346,Pail Zappel,2021-12-16,Term 4,3.0,5.0
695,695,346,Pail Zappel,2022-03-16,Term 5,4.25,4.83
696,696,346,Pail Zappel,2022-06-16,Term 6,4.75,4.0
697,697,360,Ozzie Dufore,2020-12-16,Term 1,5.0,4.5
698,698,360,Ozzie Dufore,2021-03-16,Term 2,7.75,5.92
699,699,360,Ozzie Dufore,2021-06-01,Term 3,5.0,5.92
700,700,360,Ozzie Dufore,2021-12-16,Term 4,5.0,5.92
701,701,360,Ozzie Dufore,2022-03-16,Term 5,7.0,5.67
702,702,360,Ozzie Dufore,2022-06-16,Term 6,8.25,6.75
703,703,247,Otho Halford,2020-12-16,Term 1,6.5,4.92
704,704,247,Otho Halford,2021-03-16,Term 2,4.75,5.25
705,705,247,Otho Halford,2021-06-01,Term 3,4.75,5.33
706,706,247,Otho Halford,2021-12-16,Term 4,6.0,5.17
707,707,247,Otho Halford,2022-03-16,Term 5,5.25,5.33
708,708,247,Otho Halford,2022-06-16,Term 6,7.5,6.25
709,709,82,Orly Noe,2020-12-16,Term 1,4.0,4.75
710,710,82,Orly Noe,2021-03-16,Term 2,4.75,4.08
711,711,82,Orly Noe,2021-06-01,Term 3,3.25,4.0
712,712,82,Orly Noe,2021-12-16,Term 4,4.5,4.17
713,713,82,Orly Noe,2022-03-16,Term 5,5.5,4.42
714,714,82,Orly Noe,2022-06-16,Term 6,4.0,4.67
715,715,443,Oriana Kalderon,2020-12-16,Term 1,7.0,5.92
716,716,443,Oriana Kalderon,2021-03-16,Term 2,4.0,5.17
717,717,443,Oriana Kalderon,2021-06-01,Term 3,5.0,5.33
718,718,443,Oriana Kalderon,2021-12-16,Term 4,4.25,4.42
719,719,443,Oriana Kalderon,2022-03-16,Term 5,3.5,4.25
720,720,443,Oriana Kalderon,2022-06-16,Term 6,3.5,3.75
721,721,339,Ophelie Vain,2020-12-16,Term 1,5.5,5.67
722,722,339,Ophelie Vain,2021-03-16,Term 2,4.5,5.17
723,723,339,Ophelie Vain,2021-06-01,Term 3,7.5,5.83
724,724,339,Ophelie Vain,2021-12-16,Term 4,4.25,5.42
725,725,339,Ophelie Vain,2022-03-16,Term 5,5.0,5.58
726,726,339,Ophelie Vain,2022-06-16,Term 6,4.25,4.5
727,727,212,Ollie Haydock,2020-12-16,Term 1,6.0,4.42
728,728,212,Ollie Haydock,2021-03-16,Term 2,7.75,5.83
729,729,212,Ollie Haydock,2021-06-01,Term 3,2.75,5.5
730,730,212,Ollie Haydock,2021-12-16,Term 4,5.5,5.33
731,731,212,Ollie Haydock,2022-03-16,Term 5,6.0,4.75
732,732,212,Ollie Haydock,2022-06-16,Term 6,4.0,5.17
733,733,263,Odey Cleugher,2020-12-16,Term 1,4.5,4.92
734,734,263,Odey Cleugher,2021-03-16,Term 2,5.25,5.17
735,735,263,Odey Cleugher,2021-06-01,Term 3,4.0,4.58
736,736,263,Odey Cleugher,2021-12-16,Term 4,4.5,4.58
737,737,263,Odey Cleugher,2022-03-16,Term 5,5.25,4.58
738,738,263,Odey Cleugher,2022-06-16,Term 6,5.75,5.17
739,739,405,Odessa Aspinwall,2020-12-16,Term 1,8.0,5.25
740,740,405,Odessa Aspinwall,2021-03-16,Term 2,6.25,5.67
741,741,405,Odessa Aspinwall,2021-06-01,Term 3,7.5,7.25
742,742,405,Odessa Aspinwall,2021-12-16,Term 4,4.25,6.0
743,743,405,Odessa Aspinwall,2022-03-16,Term 5,3.5,5.08
744,744,405,Odessa Aspinwall,2022-06-16,Term 6,3.25,3.67
745,745,145,Obidiah Hemms,2020-12-16,Term 1,4.25,4.42
746,746,145,Obidiah Hemms,2021-03-16,Term 2,3.75,3.67
747,747,145,Obidiah Hemms,2021-06-01,Term 3,4.0,4.0
748,748,145,Obidiah Hemms,2021-12-16,Term 4,8.0,5.25
749,749,145,Obidiah Hemms,2022-03-16,Term 5,5.5,5.83
750,750,145,Obidiah Hemms,2022-06-16,Term 6,4.5,6.0
751,751,337,Normie Commander,2020-12-16,Term 1,4.0,3.67
752,752,337,Normie Commander,2021-03-16,Term 2,6.0,4.58
753,753,337,Normie Commander,2021-06-01,Term 3,6.5,5.5
754,754,337,Normie Commander,2021-12-16,Term 4,4.0,5.5
755,755,337,Normie Commander,2022-03-16,Term 5,6.25,5.58
756,756,337,Normie Commander,2022-06-16,Term 6,4.75,5.0
757,757,200,Norean Kinsley,2020-12-16,Term 1,4.0,5.25
758,758,200,Norean Kinsley,2021-03-16,Term 2,5.0,4.67
759,759,200,Norean Kinsley,2021-06-01,Term 3,4.25,4.42
760,760,200,Norean Kinsley,2021-12-16,Term 4,4.25,4.5
761,761,200,Norean Kinsley,2022-03-16,Term 5,3.75,4.08
762,762,200,Norean Kinsley,2022-06-16,Term 6,5.25,4.42
763,763,59,Noni Ismead,2020-12-16,Term 1,4.75,5.17
764,764,59,Noni Ismead,2021-03-16,Term 2,7.25,5.58
765,765,59,Noni Ismead,2021-06-01,Term 3,4.5,5.5
766,766,59,Noni Ismead,2021-12-16,Term 4,7.0,6.25
767,767,59,Noni Ismead,2022-03-16,Term 5,4.25,5.25
768,768,59,Noni Ismead,2022-06-16,Term 6,3.25,4.83
769,769,399,Nonah Bisseker,2020-12-16,Term 1,5.0,4.42
770,770,399,Nonah Bisseker,2021-03-16,Term 2,5.0,4.75
771,771,399,Nonah Bisseker,2021-06-01,Term 3,4.25,4.75
772,772,399,Nonah Bisseker,2021-12-16,Term 4,4.5,4.58
773,773,399,Nonah Bisseker,2022-03-16,Term 5,5.0,4.58
774,774,399,Nonah Bisseker,2022-06-16,Term 6,4.75,4.75
775,775,242,Noelyn Lomath,2020-12-16,Term 1,3.5,4.0
776,776,242,Noelyn Lomath,2021-03-16,Term 2,7.0,5.42
777,777,242,Noelyn Lomath,2021-06-01,Term 3,4.0,4.83
778,778,242,Noelyn Lomath,2021-12-16,Term 4,4.5,5.17
779,779,242,Noelyn Lomath,2022-03-16,Term 5,4.25,4.25
780,780,242,Noelyn Lomath,2022-06-16,Term 6,6.0,4.92
781,781,80,Noami Shuard,2020-12-16,Term 1,5.5,4.33
782,782,80,Noami Shuard,2021-03-16,Term 2,6.0,4.92
783,783,80,Noami Shuard,2021-06-01,Term 3,5.0,5.5
784,784,80,Noami Shuard,2021-12-16,Term 4,3.0,4.67
785,785,80,Noami Shuard,2022-03-16,Term 5,5.75,4.58
786,786,80,Noami Shuard,2022-06-16,Term 6,3.5,4.08
787,787,222,Noak Plumstead,2020-12-16,Term 1,3.25,4.08
788,788,222,Noak Plumstead,2021-03-16,Term 2,5.5,4.33
789,789,222,Noak Plumstead,2021-06-01,Term 3,5.75,4.83
790,790,222,Noak Plumstead,2021-12-16,Term 4,3.5,4.92
791,791,222,Noak Plumstead,2022-03-16,Term 5,5.25,4.83
792,792,222,Noak Plumstead,2022-06-16,Term 6,4.0,4.25
